Word,Definition,Type,Type+AF8-slur,Gender
ho,woman,general,na,f
hoe,woman,general,na,f
homodumbshit,idiot,general,na,n
honkey,white person,slur,r,n
humping,sexual act,general,na,n
jackass,idiot,general,na,n
jagoff,idiot,general,na,n
jap,japanesse person,slur,r,n
jerk off,masturbate,general,na,m
jerkass,idiot,general,na,n
jigaboo,african american,slur,r,n
jungle bunny,african american,slur,r,n
junglebunny,african american,slur,r,n
kike,jewish person,slur,r,n
kraut,german,slur,r,n
kunt,female genitalia,general,na,f
kyke,jewish person,slur,r,n
lameass,loser,general,na,n
lardass,overweight individual,general,na,n
mcfagget,homosexual,slur,gs,n
mick,irish,slur,r,n
mothafucka,jerk,general,na,n
mothafuckin',mother loving,general,na,n
motherfucker,mother lover,general,na,n
motherfucking,fornicating with mother,general,na,n
munging,sexual act,general,na,n
negro,african american,slur,r,n
nigaboo,african american,slur,r,n
nigga,african american,slur,r,n
nigger,african american,slur,r,n
niggers,african americans,slur,r,n
niglet,african american child,slur,r,n
paki,pakistanien,slur,r,n
penisbanger,homosexual,slur,gs,m
penisfucker,homosexual,slur,gs,m
penispuffer,homosexual,slur,gs,m
piss,urinate,general,na,n
pissed,urinated,general,na,n
pissed off,angry,general,na,n
pissflaps,female genitalia,general,na,f
pollock,polish person,slur,r,n
porch monkey,african american,slur,r,n
porchmonkey,african american,slur,r,n
prick,penis,general,na,m
punta,female dog,general,na,f
pussies,female genitalias,general,na,f
pussy,female reproductive organ,general,na,f
pussylicking,sexual act,general,na,f
puto,idiot,general,na,m
ruski,russian,slur,r,n
sand nigger,middle eastern,slur,r,n
sandnigger,middle eastern,slur,r,n
shit,poop,general,na,n
shitass,idiot,general,na,n
shitbag,idiot,general,na,n
shitbagger,idiot,general,na,n
shitbrains,idiot,general,na,n
shitbreath,bad breath,general,na,n
shitcanned,fired,general,na,n
shitcunt,idiot,general,na,n
shitdick,idiot,general,na,n
shitface,pooface,general,na,n
shitfaced,drunk,general,na,n
shithead,jerk,general,na,n
shithole,idiot,general,na,n
shithouse,bathroom,general,na,n
shitspitter,butt,general,na,n
shitstain,poop,general,na,n
shitter,defecator,general,na,n
shittiest,worst,general,na,n
shitting,pooping,general,na,n
shitty,bad,general,na,n
shiz,poop,general,na,n
shiznit,poop,general,na,n
skank,dirty girl,general,na,f
skeet,semen,general,na,m
skullfuck,sexual act,general,na,n
slut,sexually popular woman,general,na,f
slutbag,sexually popular woman,general,na,f
spic,mexican,slur,r,n
spick,mexican american,slur,r,n
suckass,idiot,general,na,n
tard,mentally challenged,slur,a,n
thundercunt,idiot,general,na,f
titfuck,sexual act,general,na,f
tittyfuck,sexual act,general,na,f
twat,female genitals,general,na,f
twatlips,idiot,general,na,n
twats,vaginas,general,na,f
twatwaffle,homosexual,general,na,f
unclefucker,homosexual,general,na,m
wetback,mexican,slur,r,n
whore,hussy,general,na,f
whorebag,idiot,general,na,f
whoreface,idiot,general,na,f
wop,italian,slur,r,n
